year,regional_pdsi,regional_pdsi_z,standardized_low_flow,gauges_included
1990,-0.3725,-1.049201,-0.669164,2
1991,1.052083,-0.450267,-0.640628,2
1992,1.539583,-0.245309,-0.660544,2
1993,4.1925,0.870049,-0.39151,2
1994,4.03375,0.803306,-0.608691,2
1995,4.729167,1.095678,-0.454179,2
1996,4.364167,0.942222,0.131954,2
1997,5.260417,1.31903,1.692929,2
1998,3.90625,0.749701,0.607929,2
1999,3.363333,0.521445,1.17696,2
2000,-0.965,-1.298303,-0.579972,2
2001,1.36375,-0.319234,-0.446231,2
2002,-1.967917,-1.719957,-0.670678,2
2003,-2.182083,-1.809998,-0.629926,3
2004,-0.1275,-0.946196,-0.533358,3
2005,1.955417,-0.070482,-0.338972,3
2006,0.669167,-0.611256,-0.641687,3
2007,2.26,0.057573,-0.637775,3
2008,2.920833,0.335406,-0.641257,3
2009,4.563333,1.025957,-0.591209,3
2010,6.005833,1.632423,-0.241822,3
2011,4.234167,0.887566,0.648127,3
2012,-2.29875,-1.859048,-0.641687,3
2013,1.505833,-0.259499,-0.469682,3
2014,2.3575,0.098565,1.343701,3
2015,1.00125,-0.471639,2.683855,3
2016,1.668333,-0.191179,0.341697,3
2017,1.348333,-0.325716,-0.167861,3
2018,2.84875,0.3051,0.312499,3
2019,7.26,2.159708,3.072857,3
2020,4.648333,1.061693,0.256595,3
2021,-0.69375,-1.184263,-0.604688,3
2022,-0.722083,-1.196175,-0.617295,3
2023,2.00625,-0.04911,-0.27392,3
2024,2.578333,0.191409,-0.620309,3
